np_ave=174762
used mem size for tree=347881952
used mem size for tree(0)=0.347881952
# collectSample, decomposeDomain, exchangeParticles, makeLocal, makeGlobal, calcForce, calcMomentLocal, calcMomentGlobal, makeLET1st, makeLET2nd, exchangeLET1st, exchangeLET2nd
 +4.482269e-05 +6.818771e-05 +8.873200e-02 +5.633378e-02 +4.847407e-02 +3.271787e-01 +2.691984e-03 +5.513906e-03 +1.911163e-03 +0.000000e+00 +8.025885e-03 +0.000000e+00
 +3.221035e-04 +9.202957e-05 +9.950876e-03 +4.636598e-02 +4.093504e-02 +3.187740e-01 +2.670050e-03 +5.264997e-03 +1.739979e-03 +0.000000e+00 +5.802155e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +9.180069e-03 +4.629898e-02 +4.023504e-02 +3.183250e-01 +2.654076e-03 +5.129099e-03 +2.090931e-03 +0.000000e+00 +5.337954e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +9.273052e-03 +4.633021e-02 +3.999424e-02 +3.183539e-01 +2.683878e-03 +5.164862e-03 +1.765966e-03 +0.000000e+00 +5.891800e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +9.211063e-03 +4.627800e-02 +4.006910e-02 +3.186791e-01 +2.638102e-03 +5.171061e-03 +1.776934e-03 +0.000000e+00 +5.820036e-03 +0.000000e+00
 +3.089905e-04 +6.413460e-05 +9.732962e-03 +4.664397e-02 +4.002619e-02 +3.199041e-01 +3.057957e-03 +5.867004e-03 +1.927853e-03 +0.000000e+00 +3.944159e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.800030e-03 +4.661989e-02 +4.002905e-02 +3.194861e-01 +3.067970e-03 +5.868912e-03 +1.868010e-03 +0.000000e+00 +4.059076e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.812904e-03 +4.662800e-02 +4.024100e-02 +3.197620e-01 +3.080845e-03 +5.867958e-03 +1.867056e-03 +0.000000e+00 +3.812075e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.687019e-03 +4.665899e-02 +4.012108e-02 +3.195069e-01 +3.062963e-03 +5.874872e-03 +1.847029e-03 +0.000000e+00 +3.822088e-03 +0.000000e+00
 +1.578331e-04 +6.103516e-05 +9.972095e-03 +4.801798e-02 +4.193997e-02 +3.360300e-01 +3.270149e-03 +6.906033e-03 +1.610994e-03 +0.000000e+00 +2.384901e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.493900e-03 +4.784513e-02 +4.072404e-02 +3.357997e-01 +3.297091e-03 +5.950928e-03 +1.592875e-03 +0.000000e+00 +2.479076e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.438110e-03 +4.793501e-02 +4.053712e-02 +3.360739e-01 +3.285885e-03 +5.984068e-03 +1.611948e-03 +0.000000e+00 +2.645016e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.348942e-03 +4.786277e-02 +4.051876e-02 +3.363390e-01 +3.252029e-03 +6.049156e-03 +1.600981e-03 +0.000000e+00 +2.568007e-03 +0.000000e+00
 +2.002716e-05 +6.294250e-05 +9.827137e-03 +4.772115e-02 +4.028392e-02 +3.326709e-01 +3.649950e-03 +6.210089e-03 +1.734018e-03 +0.000000e+00 +2.237797e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.424044e-03 +4.760695e-02 +4.019284e-02 +3.326640e-01 +3.657103e-03 +6.237984e-03 +1.745939e-03 +0.000000e+00 +2.207994e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.370161e-03 +4.762316e-02 +4.024816e-02 +3.326712e-01 +3.678083e-03 +6.131887e-03 +1.752853e-03 +0.000000e+00 +2.226830e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.408070e-03 +4.755116e-02 +4.014587e-02 +3.326869e-01 +3.651857e-03 +6.262064e-03 +1.787901e-03 +0.000000e+00 +2.099037e-03 +0.000000e+00
 +6.508827e-05 +6.008148e-05 +9.052992e-03 +4.767609e-02 +3.986096e-02 +3.326089e-01 +3.905058e-03 +6.403923e-03 +1.563072e-03 +0.000000e+00 +2.047062e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.356094e-03 +4.743099e-02 +3.970098e-02 +3.327219e-01 +3.989935e-03 +6.506920e-03 +1.621008e-03 +0.000000e+00 +2.145052e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.386135e-03 +4.746795e-02 +3.962803e-02 +3.328180e-01 +4.002810e-03 +6.495953e-03 +1.587152e-03 +0.000000e+00 +2.069950e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.522987e-03 +4.755974e-02 +3.967118e-02 +3.327439e-01 +3.923893e-03 +6.296873e-03 +1.608133e-03 +0.000000e+00 +2.378941e-03 +0.000000e+00
 +1.907349e-05 +6.008148e-05 +8.780003e-03 +4.718304e-02 +3.992200e-02 +3.318648e-01 +4.277945e-03 +6.597042e-03 +1.567125e-03 +0.000000e+00 +2.146959e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.450031e-03 +4.714894e-02 +3.997493e-02 +3.315330e-01 +4.297018e-03 +6.521940e-03 +1.546860e-03 +0.000000e+00 +2.123117e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.538008e-03 +4.723406e-02 +3.993201e-02 +3.318019e-01 +4.255056e-03 +6.511211e-03 +1.565933e-03 +0.000000e+00 +2.072096e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.476019e-03 +4.721093e-02 +3.978920e-02 +3.319159e-01 +4.270792e-03 +6.524086e-03 +1.570940e-03 +0.000000e+00 +2.123117e-03 +0.000000e+00
 +1.907349e-05 +5.888939e-05 +8.733034e-03 +4.671812e-02 +3.952289e-02 +3.277760e-01 +4.347801e-03 +6.618977e-03 +1.743793e-03 +0.000000e+00 +2.126932e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.424044e-03 +4.671907e-02 +3.940606e-02 +3.274689e-01 +4.363060e-03 +6.659985e-03 +1.796007e-03 +0.000000e+00 +2.182961e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.473158e-03 +4.676390e-02 +3.956604e-02 +3.276889e-01 +4.318953e-03 +6.593943e-03 +1.731157e-03 +0.000000e+00 +2.085924e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.369923e-03 +4.672122e-02 +3.940010e-02 +3.274810e-01 +4.411936e-03 +6.631851e-03 +1.759052e-03 +0.000000e+00 +2.114058e-03 +0.000000e+00
 +1.883507e-05 +5.698204e-05 +8.612156e-03 +4.597092e-02 +3.885198e-02 +3.245237e-01 +4.363060e-03 +6.659031e-03 +1.945972e-03 +0.000000e+00 +2.667904e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.502007e-03 +4.598784e-02 +3.858590e-02 +3.243890e-01 +4.354000e-03 +6.693125e-03 +1.950026e-03 +0.000000e+00 +2.941132e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.556128e-03 +4.598284e-02 +3.866696e-02 +3.243661e-01 +4.318953e-03 +6.724834e-03 +1.925945e-03 +0.000000e+00 +2.667904e-03 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +8.433104e-03 +4.587007e-02 +3.857803e-02 +3.244510e-01 +4.354954e-03 +6.680965e-03 +1.982212e-03 +0.000000e+00 +2.777815e-03 +0.000000e+00
 +3.314018e-05 +5.578995e-05 +8.843184e-03 +4.637384e-02 +3.922915e-02 +3.258011e-01 +4.414797e-03 +6.850004e-03 +1.818895e-03 +0.000000e+00 +2.100945e-03 +0.000000e+00
