np_ave=17476
used mem size for tree=56109088
used mem size for tree(0)=0.056109088
# collectSample, decomposeDomain, exchangeParticles, makeLocal, makeGlobal, calcForce, calcMomentLocal, calcMomentGlobal, makeLET1st, makeLET2nd, exchangeLET1st, exchangeLET2nd
 +5.171061e-03 +4.051208e-03 +1.564954e+00 +2.081084e-02 +9.095907e-02 +1.421781e-01 +1.515150e-03 +3.445148e-03 +4.497051e-03 +0.000000e+00 +1.048582e-01 +0.000000e+00
 +2.182007e-03 +4.585981e-03 +2.335286e-02 +2.236891e-02 +3.108716e-02 +1.422820e-01 +1.477003e-03 +3.452063e-03 +2.554893e-03 +0.000000e+00 +2.780199e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.631212e-02 +2.186394e-02 +3.073597e-02 +1.421351e-01 +1.474142e-03 +3.458023e-03 +3.183842e-03 +0.000000e+00 +2.518797e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.660299e-02 +2.200675e-02 +3.067398e-02 +1.423621e-01 +1.479149e-03 +3.471851e-03 +2.399921e-03 +0.000000e+00 +2.694106e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.616192e-02 +2.182102e-02 +3.071976e-02 +1.421802e-01 +1.463890e-03 +3.866911e-03 +2.407074e-03 +0.000000e+00 +2.593207e-02 +0.000000e+00
 +1.377106e-03 +5.239010e-03 +1.889420e-02 +2.178311e-02 +3.139114e-02 +1.421480e-01 +1.490116e-03 +3.832102e-03 +2.391815e-03 +0.000000e+00 +2.665281e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.602578e-02 +2.180195e-02 +3.070307e-02 +1.422298e-01 +1.495123e-03 +3.816128e-03 +2.429962e-03 +0.000000e+00 +2.569985e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.590204e-02 +2.167082e-02 +3.118777e-02 +1.424410e-01 +1.864195e-03 +3.462076e-03 +2.972126e-03 +0.000000e+00 +2.468109e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.563597e-02 +2.172494e-02 +3.068185e-02 +1.419151e-01 +1.473904e-03 +3.499031e-03 +2.764940e-03 +0.000000e+00 +2.465296e-02 +0.000000e+00
 +1.322031e-03 +5.444050e-03 +1.801300e-02 +2.344513e-02 +3.252816e-02 +1.565938e-01 +1.580954e-03 +3.920078e-03 +2.647877e-03 +0.000000e+00 +2.271891e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.532197e-02 +2.375412e-02 +3.198886e-02 +1.572850e-01 +1.595974e-03 +3.571033e-03 +2.420902e-03 +0.000000e+00 +2.132201e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.490712e-02 +2.326608e-02 +3.276706e-02 +1.571641e-01 +1.988888e-03 +3.542900e-03 +2.413034e-03 +0.000000e+00 +2.132416e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.487207e-02 +2.354598e-02 +3.202200e-02 +1.568968e-01 +1.580000e-03 +3.957987e-03 +2.765894e-03 +0.000000e+00 +2.131915e-02 +0.000000e+00
 +1.389980e-03 +5.520105e-03 +1.695204e-02 +2.484703e-02 +3.263593e-02 +1.611171e-01 +1.588106e-03 +3.615141e-03 +2.722979e-03 +0.000000e+00 +1.863408e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.442981e-02 +2.484107e-02 +3.306413e-02 +1.614249e-01 +1.580954e-03 +3.614902e-03 +2.578020e-03 +0.000000e+00 +1.796412e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.371312e-02 +2.466488e-02 +3.307891e-02 +1.612968e-01 +1.922846e-03 +3.995895e-03 +2.558947e-03 +0.000000e+00 +1.790905e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.374984e-02 +2.451730e-02 +3.256202e-02 +1.614983e-01 +1.587152e-03 +3.610849e-03 +2.965927e-03 +0.000000e+00 +1.720500e-02 +0.000000e+00
 +1.435041e-03 +5.204916e-03 +1.629210e-02 +2.685881e-02 +3.462267e-02 +1.755543e-01 +1.668215e-03 +3.784895e-03 +2.808809e-03 +0.000000e+00 +1.623702e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.364899e-02 +2.709103e-02 +3.495121e-02 +1.748009e-01 +1.672983e-03 +3.802061e-03 +2.804995e-03 +0.000000e+00 +1.562095e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.373887e-02 +2.627587e-02 +3.463888e-02 +1.755047e-01 +1.661777e-03 +4.131079e-03 +3.191948e-03 +0.000000e+00 +1.589394e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.402617e-02 +2.673173e-02 +3.550482e-02 +1.754782e-01 +1.679897e-03 +3.805876e-03 +2.819061e-03 +0.000000e+00 +1.605415e-02 +0.000000e+00
 +4.341602e-04 +5.730152e-03 +1.671791e-02 +2.559090e-02 +3.327537e-02 +1.702406e-01 +2.031088e-03 +4.034996e-03 +2.726793e-03 +0.000000e+00 +1.719999e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.364684e-02 +2.559495e-02 +3.335094e-02 +1.699941e-01 +1.609087e-03 +4.405022e-03 +3.086090e-03 +0.000000e+00 +1.630402e-02 +0.000000e+00
 +0.000000e+00 +0.000000e+00 +1.303387e-02 +2.585626e-02 +3.344917e-02 +1.700819e-01 +1.615047e-03 +3.647089e-03 +3.232956e-03 +0.000000e+00 +1.561403e-02 +0.000000e+00
